beta,gamma,time,S,I,R,num_simulations,timestamp
0.1,0.1,0.0,95.0,5.0,0.0,50,2025-04-07T21:22:51.991697
0.1,0.1,1.0,0.06,92.7,7.24,50,2025-04-07T21:22:51.991704
0.1,0.1,2.0,0.0,83.76,16.24,50,2025-04-07T21:22:51.991705
0.1,0.1,3.0,0.0,75.88,24.12,50,2025-04-07T21:22:51.991707
0.1,0.1,4.0,0.0,68.58,31.42,50,2025-04-07T21:22:51.991708
0.1,0.1,5.0,0.0,62.24,37.76,50,2025-04-07T21:22:51.991709
0.1,0.1,6.0,0.0,55.72,44.28,50,2025-04-07T21:22:51.991710
0.1,0.1,7.0,0.0,51.0,49.0,50,2025-04-07T21:22:51.991711
0.1,0.1,8.0,0.0,46.54,53.46,50,2025-04-07T21:22:51.991712
0.1,0.1,9.0,0.0,41.68,58.32,50,2025-04-07T21:22:51.991713
0.1,0.1,10.0,0.0,37.06,62.94,50,2025-04-07T21:22:51.991714
0.1,0.1,11.0,0.0,33.72,66.28,50,2025-04-07T21:22:51.991715
0.1,0.1,12.0,0.0,30.12,69.88,50,2025-04-07T21:22:51.991716
0.1,0.1,13.0,0.0,26.84,73.16,50,2025-04-07T21:22:51.991717
0.1,0.1,14.0,0.0,24.16,75.84,50,2025-04-07T21:22:51.991718
0.1,0.1,15.0,0.0,21.38,78.62,50,2025-04-07T21:22:51.991719
0.1,0.1,16.0,0.0,18.98,81.02,50,2025-04-07T21:22:51.991720
0.1,0.1,17.0,0.0,16.9,83.1,50,2025-04-07T21:22:51.991721
0.1,0.1,18.0,0.0,15.4,84.6,50,2025-04-07T21:22:51.991722
0.1,0.1,19.0,0.0,13.8,86.2,50,2025-04-07T21:22:51.991723
0.1,0.1,20.0,0.0,12.34,87.66,50,2025-04-07T21:22:51.991724
0.1,0.1,21.0,0.0,10.82,89.18,50,2025-04-07T21:22:51.991725
0.1,0.1,22.0,0.0,9.88,90.12,50,2025-04-07T21:22:51.991726
0.1,0.1,23.0,0.0,8.7,91.3,50,2025-04-07T21:22:51.991727
0.1,0.1,24.0,0.0,7.72,92.28,50,2025-04-07T21:22:51.991728
0.1,0.1,25.0,0.0,6.96,93.04,50,2025-04-07T21:22:51.991729
0.1,0.1,26.0,0.0,6.18,93.82,50,2025-04-07T21:22:51.991730
0.1,0.1,27.0,0.0,5.54,94.46,50,2025-04-07T21:22:51.991731
0.1,0.1,28.0,0.0,5.08,94.92,50,2025-04-07T21:22:51.991732
0.1,0.1,29.0,0.0,4.26,95.74,50,2025-04-07T21:22:51.991733
0.1,0.1,30.0,0.0,3.78,96.22,50,2025-04-07T21:22:51.991734
0.1,0.1,31.0,0.0,3.4,96.6,50,2025-04-07T21:22:51.991735
0.1,0.1,32.0,0.0,3.08,96.92,50,2025-04-07T21:22:51.991736
0.1,0.1,33.0,0.0,2.66,97.34,50,2025-04-07T21:22:51.991737
0.1,0.1,34.0,0.0,2.22,97.78,50,2025-04-07T21:22:51.991738
0.1,0.1,35.0,0.0,1.9,98.1,50,2025-04-07T21:22:51.991739
0.1,0.1,36.0,0.0,1.62,98.38,50,2025-04-07T21:22:51.991740
0.1,0.1,37.0,0.0,1.46,98.54,50,2025-04-07T21:22:51.991741
0.1,0.1,38.0,0.0,1.3,98.7,50,2025-04-07T21:22:51.991742
0.1,0.1,39.0,0.0,1.06,98.94,50,2025-04-07T21:22:51.991743
0.1,0.1,40.0,0.0,0.9,99.1,50,2025-04-07T21:22:51.991744
0.1,0.1,41.0,0.0,0.76,99.24,50,2025-04-07T21:22:51.991750
0.1,0.1,42.0,0.0,0.66,99.34,50,2025-04-07T21:22:51.991751
0.1,0.1,43.0,0.0,0.58,99.42,50,2025-04-07T21:22:51.991752
0.1,0.1,44.0,0.0,0.54,99.46,50,2025-04-07T21:22:51.991753
0.1,0.1,45.0,0.0,0.52,99.48,50,2025-04-07T21:22:51.991754
0.1,0.1,46.0,0.0,0.42,99.58,50,2025-04-07T21:22:51.991755
0.1,0.1,47.0,0.0,0.4,99.6,50,2025-04-07T21:22:51.991756
0.1,0.1,48.0,0.0,0.34,99.66,50,2025-04-07T21:22:51.991757
0.1,0.1,49.0,0.0,0.32,99.68,50,2025-04-07T21:22:51.991759
0.1,0.1,50.0,0.0,0.28,99.72,50,2025-04-07T21:22:51.991760
0.1,0.1,51.0,0.0,0.24,99.76,50,2025-04-07T21:22:51.991760
0.1,0.1,52.0,0.0,0.18,99.82,50,2025-04-07T21:22:51.991762
0.1,0.1,53.0,0.0,0.14,99.86,50,2025-04-07T21:22:51.991763
0.1,0.1,54.0,0.0,0.12,99.88,50,2025-04-07T21:22:51.991764
0.1,0.1,55.0,0.0,0.12,99.88,50,2025-04-07T21:22:51.991765
0.1,0.1,56.0,0.0,0.12,99.88,50,2025-04-07T21:22:51.991766
0.1,0.1,57.0,0.0,0.1,99.9,50,2025-04-07T21:22:51.991767
0.1,0.1,58.0,0.0,0.06,99.94,50,2025-04-07T21:22:51.991768
0.1,0.1,59.0,0.0,0.06,99.94,50,2025-04-07T21:22:51.991769
0.1,0.1,60.0,0.0,0.06,99.94,50,2025-04-07T21:22:51.991770
0.1,0.1,61.0,0.0,0.04,99.96,50,2025-04-07T21:22:51.991771
0.1,0.1,62.0,0.0,0.04,99.96,50,2025-04-07T21:22:51.991772
0.1,0.1,63.0,0.0,0.04,99.96,50,2025-04-07T21:22:51.991773
0.1,0.1,64.0,0.0,0.04,99.96,50,2025-04-07T21:22:51.991774
0.1,0.1,65.0,0.0,0.04,99.96,50,2025-04-07T21:22:51.991775
0.1,0.1,66.0,0.0,0.04,99.96,50,2025-04-07T21:22:51.991776
0.1,0.1,67.0,0.0,0.04,99.96,50,2025-04-07T21:22:51.991777
0.1,0.1,68.0,0.0,0.04,99.96,50,2025-04-07T21:22:51.991778
0.1,0.1,69.0,0.0,0.04,99.96,50,2025-04-07T21:22:51.991779
