time,S,I,R
0.0,95,5,0
1.0,0,88,12
2.0,0,79,21
3.0,0,74,26
4.0,0,67,33
5.0,0,61,39
6.0,0,56,44
7.0,0,50,50
8.0,0,48,52
9.0,0,46,54
10.0,0,40,60
11.0,0,37,63
12.0,0,34,66
13.0,0,30,70
14.0,0,28,72
15.0,0,25,75
16.0,0,23,77
17.0,0,19,81
18.0,0,18,82
19.0,0,17,83
20.0,0,16,84
21.0,0,15,85
22.0,0,13,87
23.0,0,13,87
24.0,0,12,88
25.0,0,11,89
26.0,0,9,91
27.0,0,9,91
28.0,0,8,92
29.0,0,6,94
30.0,0,5,95
31.0,0,2,98
32.0,0,2,98
33.0,0,2,98
34.0,0,2,98
35.0,0,2,98
36.0,0,2,98
37.0,0,2,98
38.0,0,2,98
39.0,0,2,98
40.0,0,2,98
41.0,0,2,98
42.0,0,2,98
43.0,0,2,98
44.0,0,2,98
45.0,0,2,98
46.0,0,2,98
47.0,0,2,98
48.0,0,2,98
49.0,0,2,98
50.0,0,2,98
51.0,0,2,98
52.0,0,1,99
53.0,0,0,100
54.0,0,0,100
55.0,0,0,100
56.0,0,0,100
57.0,0,0,100
